,Incident ID,Year,Street Name,Cross Street,Distance,Junction Relation,Total Injuries,Total Fatalities,Injury Severity,Collision Manner,Light Condition,Weather,Surface Condition,Age Driver 1,Gender Driver 1,Travel Direction One,Unit Action One,Violation1_Drv1,Alcohol Use Driver 1,Drug Use Driver 1,Age Driver 2,Gender Driver 2,Travel Direction Two,Unit Action Two,Violation 1 Driver 2,Alcohol Use Driver 2,Drug Use Driver 2,Latitude,Longitude,Date,Time
32339,3471098,2019,Broadway Rd,52nd St,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,30.0,Male,North,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,46.0,Female,West,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,33.40925,-111.96953,2019-01-07,17:26:00
32342,3478878,2019,Baseline Rd,Mill Ave,-80.0,Intersection Related 206,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,46.0,Male,East,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,26.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37822,-111.93963,2019-01-07,22:27:00
32343,3470939,2019,5th St,Terry Ln,20.0,Not Junction Related,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,26.0,Female,North,Going Straight Ahead,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,55.0,Female,West,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.4255,-111.95576,2019-01-07,23:10:00
32344,3470809,2019,Baseline Rd,Pointe Pkwy,-50.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,58.0,Female,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,57.0,Male,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821,-111.97216,2019-01-07,23:36:00
32349,3478837,2019,Priest Dr,La Jolla Dr,60.0,Intersection Related 206,0.0,0.0,No Injury,Sideswipe Same Direction,Unknown 51,Unknown,Dry,22.0,Female,South,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,42.0,Male,South,Changing Lanes,No Improper Action,No Apparent Influence,No Apparent Influence,33.39045,-111.96081,2019-01-08,00:34:00
32351,3479076,2019,Kyrene Rd,Guadalupe Rd,0.0,Not Junction Related,0.0,0.0,No Injury,Left Turn,Daylight,Clear,Dry,33.0,Male,Unknown,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,57.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.36366,-111.94589,2019-01-08,00:41:00
32352,3479074,2019,Broadway Rd,Price Rd,-56.0,Intersection Related 206,0.0,0.0,No Injury,Sideswipe Same Direction,Dusk,Clear,Dry,60.0,Female,East,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,39.0,Female,East,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,33.40747,-111.89052,2019-01-08,00:46:00
32354,3470942,2019,McClintock Dr,Don Carlos Ave,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Left Turn,Dusk,Clear,Dry,36.0,Female,North,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,21.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41748,-111.90911,2019-01-08,01:07:00
32356,3470736,2019,Guadalupe Rd,Country Club Way,45.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Dark Lighted,Clear,Dry,67.0,Male,West,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,55.0,Female,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.3638,-111.90246,2019-01-08,01:48:00
32357,3478849,2019,University Dr,Mill Ave,0.0,Intersection 4 Way 202,2.0,0.0,Possible Injury,Left Turn,Dark Lighted,Clear,Dry,27.0,Male,Southwest,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,19.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42193,-111.94002,2019-01-08,02:51:00
32358,3482413,2019,Terrace Rd,Krueger St,-25.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Dark Lighted,Clear,Dry,59.0,Male,Northwest,Going Straight Ahead,Other,No Apparent Influence,No Apparent Influence,21.0,Male,Northwest,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42023,-111.92625,2019-01-08,02:54:00
32360,3478784,2019,Rural Rd,Apache Blvd,0.0,Other,0.0,0.0,No Injury,Sideswipe Same Direction,Dark Lighted,Clear,Dry,21.0,Female,South,Unknown,Unknown,No Apparent Influence,No Apparent Influence,20.0,Male,South,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.41476,-111.92629,2019-01-08,04:30:00
32361,3470995,2019,Broadway Rd,52nd St,-90.0,Not Junction Related,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,21.0,Female,West,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,37.0,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.4093,-111.96982,2019-01-08,15:05:00
32362,3479011,2019,University Dr,Smith Rd,92.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,27.0,Female,West,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,24.0,Female,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42211,-111.90022,2019-01-08,15:07:00
32363,3478871,2019,Mill Ave,Hudson Ln,-80.0,Intersection Related 206,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,54.0,Male,North,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,56.0,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41341,-111.93989,2019-01-08,15:08:00
