,Incident ID,Year,Street Name,Cross Street,Distance,Junction Relation,Total Injuries,Total Fatalities,Injury Severity,Collision Manner,Light Condition,Weather,Surface Condition,Age Driver 1,Gender Driver 1,Travel Direction One,Unit Action One,Violation1_Drv1,Alcohol Use Driver 1,Drug Use Driver 1,Age Driver 2,Gender Driver 2,Travel Direction Two,Unit Action Two,Violation 1 Driver 2,Alcohol Use Driver 2,Drug Use Driver 2,Latitude,Longitude,Date,Time
40175,3736772,2021,Priest Dr,Southern Ave,0.0,Not Junction Related,0.0,0.0,No Injury,Left Turn,Daylight,Clear,Dry,54.0,Male,North,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,29.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39288398,-111.9607698,2021-02-13,19:15:00
40177,3744677,2021,McClintock Dr,Elliot Rd,0.0,Intersection 201,0.0,0.0,No Injury,Left Turn,Dark Lighted,Clear,Dry,18.0,Male,Southeast,Making Left Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,18.0,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.34912976,-111.9111875,2021-02-14,05:32:00
40179,3736779,2021,Rio Salado Pkwy,Mill Ave,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Dawn,Clear,Dry,24.0,Female,West,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,42.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42962509,-111.9400482,2021-02-14,14:04:00
40180,3743424,2021,Curry Rd,Miller Rd,-35.0,Intersection Related 206,2.0,0.0,Possible Injury,Sideswipe Same Direction,Dark Lighted,Clear,Dry,28.0,Male,East,Making Right Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,58.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.44038354,-111.9180735,2021-02-15,01:45:00
40181,3740235,2021,Rural Rd,Southern Ave,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Left Turn,Dark Lighted,Clear,Dry,17.0,Male,South,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,19.0,Male,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39296101,-111.9263255,2021-02-15,01:47:00
40182,3743842,2021,Guadalupe Rd,Rural Rd,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Head On,Dark Lighted,Clear,Dry,18.0,Female,West,Going Straight Ahead,Disregarded Traffic Signal,Alcohol,No Apparent Influence,18.0,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.36375268,-111.9286049,2021-02-15,05:59:00
40183,3736780,2021,Scottsdale Rd,Playa Del Norte Dr,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Left Turn,Dark Lighted,Clear,Dry,22.0,Male,North,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,32.0,Female,West,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.43403454,-111.9262627,2021-02-15,06:14:00
40188,3739861,2021,Broadway Rd,Mill Ave,175.0,Not Junction Related,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Cloudy,Dry,30.0,Female,East,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,49.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40741569,-111.9392536,2021-02-16,13:43:00
40190,3740016,2021,Rural Rd,Broadway Rd,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Left Turn,Dark Lighted,Clear,Dry,29.0,Male,West,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,60.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40750182,-111.9262829,2021-02-17,01:02:00
40196,3740246,2021,University Dr,Veterans Way,215.0,Railway Grade Crossing,1.0,0.0,Suspected Minor Injury,Rear End,Unknown 51,Unknown,Dry,26.0,Male,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,40.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42201103,-111.9282357,2021-02-18,06:36:00
40199,3740006,2021,Southern Ave,48th St,100.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,20.0,Male,West,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,24.0,Female,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.39276908,-111.9780108,2021-02-18,22:22:00
40203,3740001,2021,Vaughn St,Roosevelt St,0.0,Intersection 4 Way 202,1.0,0.0,Possible Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,54.0,Male,North,Going Straight Ahead,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,38.0,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.36108453,-111.9493651,2021-02-19,19:09:00
40204,3740085,2021,Guadalupe Rd,McClintock Dr,0.0,Intersection 4 Way 202,1.0,0.0,Possible Injury,Left Turn,Daylight,Clear,Dry,29.0,Female,Northeast,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,44.0,Female,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.36376447,-111.9112567,2021-02-19,19:15:00
40209,3743417,2021,Apache Blvd,Price Rd,0.0,Intersection 201,2.0,0.0,Suspected Minor Injury,Angle - Other Than Left Turn 2,Unknown 51,Unknown,Dry,29.0,Female,North,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,56.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41479117,-111.8907333,2021-02-20,00:34:00
40214,3743428,2021,Baseline Rd,Rural Rd,156.0,Driveway Or Alley,1.0,0.0,Suspected Serious Injury,Rear End,Daylight,Clear,Dry,42.0,Male,South,Making Right Turn,Other,No Apparent Influence,No Apparent Influence,52.0,Male,South,Making Right Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.37825096,-111.9281732,2021-02-20,20:00:00
40215,3734887,2021,Baseline Rd,Pointe Pkwy,-32.0,Intersection Related Interchange,0.0,0.0,No Injury,Rear End,Dark Lighted,Clear,Dry,69.0,Female,East,Slowing In Trafficway,Speed To Fast For Conditions,Alcohol,No Apparent Influence,48.0,Male,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821566,-111.9720996,2021-02-21,02:01:00
40216,3779918,2021,Rural Rd,Warner Rd,0.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Dark Lighted,Clear,Dry,73.0,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.0,Male,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,33.33465521,-111.9284147,2021-02-21,06:11:00
40219,3740237,2021,Broadway Rd,Jentilly Ln,-125.0,Intersection Related 206,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Dusk,Clear,Dry,37.0,Female,South,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,28.0,Male,West,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,33.40750751,-111.9241298,2021-02-22,00:38:00
40221,3743363,2021,Rural Rd,Lemon St,0.0,Intersection 4 Way 202,2.0,0.0,Suspected Minor Injury,Left Turn,Dark Lighted,Clear,Dry,19.0,Female,South,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,18.0,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41683505,-111.9262972,2021-02-22,05:19:00
40223,3740255,2021,Baseline Rd,Mill Ave,0.0,Intersection 201,1.0,0.0,Suspected Minor Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,32.0,Female,South,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,34.0,Female,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821114,-111.9393657,2021-02-22,14:32:00
40224,3740083,2021,48th St,University Dr,33.0,Intersection Related 206,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,34.0,Male,South,Making Right Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,35.0,Female,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42199538,-111.9762498,2021-02-22,20:18:00
40230,3740079,2021,Broadway Rd,Roosevelt St,87.0,Driveway Or Alley,2.0,0.0,Suspected Minor Injury,Left Turn,Dark Unknown Lighting,Clear,Dry,19.0,Male,West,Making Left Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,31.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40737591,-111.9475681,2021-02-23,02:15:00
40233,3740096,2021,Scottsdale Rd,Playa Del Norte Dr,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,30.0,Female,South,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,24.0,Female,East,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.43403454,-111.9262627,2021-02-23,21:29:00
40234,3740115,2021,Scottsdale Rd,Gilbert Dr,0.0,Intersection 4 Way 202,1.0,0.0,Possible Injury,Left Turn,Daylight,Clear,Dry,26.0,Male,North,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,23.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.43756227,-111.9262752,2021-02-24,00:00:00
40235,3743840,2021,Baseline Rd,Calle Los Cerros,0.0,Not Junction Related,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,24.0,Male,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,18.0,Male,West,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,33.3781992,-111.9759899,2021-02-24,00:24:00
40238,3740236,2021,Mill Ave,Southern Ave,-117.0,Intersection Related 206,1.0,0.0,Possible Injury,Rear End,Dark Lighted,Clear,Dry,20.0,Female,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,27.0,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.39254183,-111.9395971,2021-02-24,03:58:00
40239,3740092,2021,Weber Dr,Mary St,0.0,Intersection T Inter 203,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,16.0,Male,East,Making U Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,33.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.44403102,-111.9243185,2021-02-24,14:41:00
40240,3740080,2021,Baseline Rd,Calle Los Cerros,15.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,32.0,Male,West,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,21.0,Female,West,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821145,-111.9740393,2021-02-24,17:28:00
40241,3739992,2021,Southern Ave,George Dr,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,37.0,Male,South,Making Right Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,28.0,Female,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39301035,-111.8876933,2021-02-24,18:07:00
40243,3742828,2021,Baseline Rd,Kyrene Rd,217.0,Driveway Or Alley,0.0,0.0,No Injury,Left Turn,Dark Lighted,Clear,Dry,17.0,Male,West,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,41.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37822261,-111.9431774,2021-02-25,03:21:00
40244,3740244,2021,Scottsdale Rd,Hancock Ave,-125.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,35.0,Female,North,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,24.0,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.44631335,-111.9264527,2021-02-25,14:53:00
40247,3743825,2021,McClintock Dr,Dunbar Dr,-38.0,Intersection Related 206,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,21.0,Female,South,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,42.0,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.38016295,-111.9092505,2021-02-25,18:43:00
40250,3743361,2021,Baseline Rd,Calle Los Cerros,-35.0,Intersection Related 206,1.0,0.0,Possible Injury,Rear End,Daylight,Clear,Dry,21.0,Female,East,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,32.0,Male,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.3782104,-111.974203,2021-02-25,22:52:00
40253,3746637,2021,Broadway Rd,Hardy Dr,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Dark Lighted,Clear,Dry,53.0,Male,East,Going Straight Ahead,Disregarded Traffic Signal,Alcohol,No Apparent Influence,74.0,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40739301,-111.952165,2021-02-26,09:18:00
40256,3743381,2021,Mill Ave,Broadway Rd,-192.0,Intersection Related 206,1.0,0.0,Possible Injury,Rear End,Daylight,Clear,Dry,25.0,Female,North,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,43.0,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40687141,-111.9398111,2021-02-26,23:13:00
40257,3750496,2021,McClintock Dr,12th St,42.0,Intersection Related 206,1.0,0.0,Possible Injury,Rear End,Dusk,Clear,Dry,27.0,Female,South,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,20.0,Female,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.41626558,-111.9091172,2021-02-26,23:46:00
40258,3746606,2021,Miller Rd,Playa Del Norte Dr,0.0,Not Junction Related,1.0,0.0,Possible Injury,Head On,Dark Lighted,Clear,Dry,79.0,Female,Southwest,Negotiating A Curve,Speed To Fast For Conditions,Alcohol,No Apparent Influence,19.0,Male,Northwest,Negotiating A Curve,No Improper Action,No Apparent Influence,No Apparent Influence,33.43554744,-111.9201556,2021-02-27,04:37:00
40259,3743437,2021,Rural Rd,Southern Ave,175.0,Not Junction Related,0.0,0.0,No Injury,Left Turn,Dark Lighted,Clear,Dry,24.0,Female,East,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,24.0,Female,West,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,33.39344184,-111.9263264,2021-02-27,05:47:00
40263,3740242,2021,Baseline Rd,Darrow Dr,0.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,30.0,Male,West,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,47.0,Female,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37824425,-111.9611298,2021-02-27,22:08:00
40264,3743412,2021,Broadway Rd,Dorsey Ln,0.0,Intersection 201,2.0,0.0,Suspected Minor Injury,Left Turn,Daylight,Clear,Dry,82.0,Female,Southwest,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,19.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40750558,-111.917697,2021-02-27,22:54:00
40266,3738174,2021,Baseline Rd,48th St,153.0,Intersection Related Interchange,1.0,0.0,Possible Injury,Rear End,Dark Lighted,Clear,Dry,41.0,Male,West,Slowing In Trafficway,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,30.0,Female,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37818712,-111.9779137,2021-02-28,01:37:00
40267,3743832,2021,Apache Blvd,McClintock Dr,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Rear End,Dark Lighted,Clear,Dry,24.0,Male,South,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,20.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41475993,-111.9091326,2021-02-28,04:41:00
40270,3743411,2021,8th St,Una Ave,0.0,Intersection T Inter 203,2.0,0.0,Suspected Minor Injury,Left Turn,Daylight,Clear,Dry,19.0,Male,West,Overtaking Passing,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,39.0,Female,West,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.41950023,-111.9128152,2021-02-28,21:03:00
40271,3746635,2021,1st St,Beck Ave,190.0,Not Junction Related,1.0,0.0,Suspected Minor Injury,Left Turn,Daylight,Clear,Dry,18.0,Female,West,Making Left Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,21.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42908741,-111.9561059,2021-02-28,22:58:00
40272,3742829,2021,Rural Rd,Guadalupe Rd,-103.0,Intersection Related 206,1.0,0.0,Suspected Minor Injury,Rear End,Daylight,Clear,Dry,19.0,Female,North,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,68.0,Female,North,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.36346981,-111.9286017,2021-03-02,00:43:00
40278,3743827,2021,Rural Rd,Guadalupe Rd,25.0,Intersection 201,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Dark Lighted,Clear,Dry,52.0,Female,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,19.0,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.36382125,-111.9286058,2021-03-03,03:32:00
40280,3743833,2021,Loyola Dr,Rural Rd,108.0,Driveway Or Alley,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,52.0,Male,West,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,24.0,Male,West,Overtaking Passing,No Improper Action,No Apparent Influence,No Apparent Influence,33.39696678,-111.9259657,2021-03-03,15:01:00
40281,3743383,2021,McClintock Dr,Larkspur Ln,100.0,Intersection Related 206,2.0,0.0,Possible Injury,Head On,Daylight,Clear,Dry,69.0,Male,South,Changing Lanes,Unknown,No Apparent Influence,No Apparent Influence,30.0,Female,North,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,33.45014958,-111.9093267,2021-03-03,17:58:00
40284,3743352,2021,Southern Ave,College Ave,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,60.0,Female,West,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,36.0,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39290712,-111.9349183,2021-03-04,00:17:00
40285,3746663,2021,Baseline Rd,Terry Ln,50.0,Intersection Related 206,0.0,0.0,No Injury,Left Turn,Dark Lighted,Clear,Dry,21.0,Male,North,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,39.0,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37822514,-111.9552374,2021-03-04,02:44:00
40290,3743128,2021,Guadalupe Rd,El Camino Dr,64.0,Intersection T Inter 203,0.0,0.0,No Injury,Head On,Daylight,Clear,Dry,63.0,Male,East,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,44.0,Female,West,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,33.36373346,-111.9329752,2021-03-04,21:01:00
40291,3743818,2021,Mill Ave,Curry Rd,-25.0,Intersection Related 206,1.0,0.0,Possible Injury,Rear End,Daylight,Clear,Dry,21.0,Male,North,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,20.0,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.43756027,-111.9432735,2021-03-04,22:16:00
40293,3743821,2021,Southern Ave,Mill Ave,-137.0,Intersection Related 206,1.0,0.0,Suspected Minor Injury,Sideswipe Same Direction,Daylight,Clear,Dry,54.0,Male,East,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,27.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39285903,-111.9400528,2021-03-04,23:28:00
40296,3743820,2021,Harl Ave,Elliot Rd,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,23.0,Male,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,23.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.34908146,-111.9659282,2021-03-05,17:27:00
40297,3744667,2021,University Dr,Priest Dr,-152.0,Intersection Related 206,0.0,0.0,No Injury,Left Turn,Daylight,Clear,Dry,20.0,Male,South,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,48.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42194204,-111.9614216,2021-03-05,19:01:00
40298,3744672,2021,Rural Rd,University Dr,160.0,Intersection Related 206,1.0,0.0,Possible Injury,Rear End,Daylight,Clear,Dry,46.0,Male,North,Backing,Followed Too Closely,No Apparent Influence,No Apparent Influence,35.0,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42246874,-111.9263116,2021-03-05,19:19:00
40300,3745193,2021,Broadway Rd,Roosevelt Rd,-15.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,27.0,Male,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,Drugs,28.0,Male,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40754242,-111.8832977,2021-03-05,21:23:00
40303,3746640,2021,Rio Salado Pkwy,Rural Rd,0.0,Intersection 4 Way 202,1.0,0.0,Possible Injury,Left Turn,Dark Lighted,Clear,Dry,21.0,Male,East,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,23.0,Female,West,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,33.42884843,-111.9262892,2021-03-06,03:57:00
40306,3746672,2021,Baseline Rd,Pointe Pkwy,-55.0,Intersection Related 206,2.0,0.0,Possible Injury,Rear End,Daylight,Clear,Dry,29.0,Male,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,36.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821478,-111.9721749,2021-03-06,21:24:00
40307,3746630,2021,Kyrene Rd,Warner Rd,-87.0,Not Junction Related,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,21.0,Male,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,30.0,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.33436272,-111.9456589,2021-03-06,23:32:00
40308,3743824,2021,48th St,Broadway Rd,0.0,Intersection 201,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,18.0,Female,North,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,57.0,Female,East,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,33.40732886,-111.9782876,2021-03-06,23:39:00
40309,3750524,2021,University Dr,Rural Rd,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Left Turn,Dark Lighted,Clear,Dry,19.0,Male,South,Making Left Turn,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,24.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42202914,-111.9263124,2021-03-07,02:09:00
40310,3746628,2021,Baseline Rd,Kyrene Rd,-130.0,Not Junction Related,1.0,0.0,Suspected Minor Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,59.0,Male,West,Unknown,Unknown,No Apparent Influence,No Apparent Influence,33.0,Female,South,Making U Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,33.37819932,-111.9464144,2021-03-07,17:39:00
40311,3763164,2021,Pointe Pkwy,Baseline Rd,105.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,31.0,Female,North,Going Straight Ahead,Speed To Fast For Conditions,Alcohol,No Apparent Influence,39.0,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37792793,-111.9719962,2021-03-07,23:39:00
40315,3743823,2021,Broadway Rd,55th St,-35.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Dark Lighted,Clear,Dry,18.0,Female,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,34.0,Male,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40760308,-111.9659331,2021-03-08,04:54:00
40319,3769737,2021,Scottsdale Rd,Cavalier Dr,-100.0,Not Junction Related,0.0,0.0,No Injury,Left Turn,Dark Lighted,Clear,Dry,41.0,Male,Northwest,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,19.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.44873878,-111.9264661,2021-03-09,05:44:00
40323,3744669,2021,Dorsey Ln,University Dr,-25.0,Intersection Related 206,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,18.0,Male,North,Making Right Turn,Other,No Apparent Influence,No Apparent Influence,30.0,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42195003,-111.9176894,2021-03-09,21:30:00
40327,3750516,2021,Madison Dr,University Dr,44.0,Intersection Related 206,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,59.0,Male,South,Making Right Turn,Other,No Apparent Influence,No Apparent Influence,27.0,Female,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42203732,-111.9733295,2021-03-10,22:02:00
40328,3746632,2021,Warner Rd,McClintock Dr,-95.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,37.0,Male,East,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,38.0,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.33462388,-111.9114865,2021-03-10,22:26:00
40330,3750336,2021,University Dr,Hardy Dr,0.0,Intersection 4 Way 202,1.0,0.0,Possible Injury,Left Turn,Dark Lighted,Clear,Dry,20.0,Female,West,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,20.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42191004,-111.9522234,2021-03-11,03:58:00
40331,3750506,2021,Baseline Rd,48th St,93.0,Intersection Related 206,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,26.0,Female,East,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,22.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37818587,-111.9781116,2021-03-11,17:36:00
